Date,10-K,10-Q,8-K
1994-12-13,1.0,0.0,0.0
1995-12-19,1.0,0.0,0.0
1996-12-19,1.0,0.0,0.0
1997-12-05,1.0,0.0,0.0
1999-12-22,1.0,0.0,0.0
2000-12-14,1.0,0.0,0.0
2002-12-19,1.0,0.0,0.0
2003-12-19,1.0,0.0,0.0
2004-12-03,1.0,0.0,0.0
2005-12-01,1.0,0.0,0.0
2006-05-05,0.0,1.0,0.0
2006-12-29,1.0,1.0,0.0
2007-02-02,0.0,1.0,0.0
2007-05-10,0.0,1.0,0.0
2007-08-08,0.0,1.0,0.0
2007-11-15,1.0,0.0,0.0
2008-02-01,0.0,1.0,0.0
2008-05-01,0.0,1.0,0.0
2008-07-23,0.0,1.0,0.0
2008-11-05,1.0,0.0,0.0
2009-01-23,0.0,1.0,0.0
2009-04-23,0.0,1.0,0.0
2009-07-22,0.0,1.0,0.0
2009-10-27,1.0,0.0,0.0
2010-01-25,0.0,1.0,0.0
2010-04-21,0.0,1.0,0.0
2010-07-21,0.0,1.0,0.0
2010-10-27,1.0,0.0,0.0
2011-01-19,0.0,1.0,0.0
2011-04-21,0.0,1.0,0.0
2011-07-20,0.0,1.0,0.0
2011-10-26,1.0,0.0,0.0
2012-01-25,0.0,1.0,0.0
2012-04-25,0.0,1.0,0.0
2012-07-25,0.0,1.0,0.0
2012-10-31,1.0,0.0,0.0
2013-01-24,0.0,1.0,0.0
2013-04-24,0.0,1.0,0.0
2013-07-24,0.0,1.0,0.0
2013-10-30,1.0,0.0,0.0
2014-01-28,0.0,1.0,0.0
2014-04-24,0.0,1.0,0.0
2014-07-23,0.0,1.0,0.0
2014-10-27,1.0,0.0,0.0
2015-01-28,0.0,1.0,0.0
2015-04-28,0.0,1.0,0.0
2015-07-22,0.0,1.0,0.0
2015-09-17,0.0,0.0,1.0
2015-10-02,0.0,0.0,1.0
2015-10-27,0.0,0.0,1.0
2015-10-28,1.0,0.0,0.0
2015-12-17,0.0,0.0,1.0
2015-12-22,0.0,0.0,1.0
2016-01-26,0.0,0.0,1.0
2016-01-27,0.0,1.0,0.0
2016-02-23,0.0,0.0,1.0
2016-03-01,0.0,0.0,1.0
2016-03-24,0.0,0.0,1.0
2016-04-26,0.0,0.0,1.0
2016-04-27,0.0,1.0,0.0
2016-06-22,0.0,0.0,1.0
2016-07-26,0.0,0.0,1.0
2016-07-27,0.0,1.0,0.0
2016-08-04,0.0,0.0,1.0
2016-10-25,0.0,0.0,1.0
2016-10-26,1.0,0.0,0.0
2016-12-15,0.0,0.0,1.0
2017-01-31,0.0,0.0,1.0
2017-02-01,0.0,1.0,0.0
2017-02-09,0.0,0.0,1.0
2017-03-01,0.0,0.0,1.0
2017-03-03,0.0,0.0,1.0
2017-05-02,0.0,0.0,1.0
2017-05-03,0.0,1.0,0.0
2017-05-11,0.0,0.0,1.0
2017-05-24,0.0,0.0,1.0
2017-06-20,0.0,0.0,1.0
2017-08-01,0.0,0.0,1.0
2017-08-02,0.0,1.0,0.0
2017-08-18,0.0,0.0,1.0
2017-09-12,0.0,0.0,1.0
2017-10-12,0.0,0.0,1.0
2017-11-02,0.0,0.0,1.0
2017-11-03,1.0,0.0,0.0
2017-11-13,0.0,0.0,1.0
2018-02-01,0.0,0.0,1.0
2018-02-02,0.0,1.0,0.0
2018-02-14,0.0,0.0,1.0
2018-05-01,0.0,0.0,1.0
2018-05-02,0.0,1.0,0.0
2018-05-07,0.0,0.0,1.0
2018-07-31,0.0,0.0,1.0
2018-08-01,0.0,1.0,0.0
2018-11-01,0.0,0.0,1.0
2018-11-05,1.0,0.0,0.0
2019-01-02,0.0,0.0,1.0
2019-01-29,0.0,0.0,1.0
2019-01-30,0.0,1.0,0.0
2019-02-06,0.0,0.0,1.0
2019-03-04,0.0,0.0,1.0
