,state,s17_part,s17_erw,s17_math,s17_total,a17_part,a17_eng,a17_math,a17_read,a17_sci,a17_comp
0,Alabama,5.0,593,572,1165,100.0,18.9,18.4,19.7,19.4,19.2
1,Alaska,38.0,547,533,1080,65.0,18.7,19.8,20.4,19.9,19.8
2,Arizona,30.0,563,553,1116,62.0,18.6,19.8,20.1,19.8,19.7
3,Arkansas,3.0,614,594,1208,100.0,18.9,19.0,19.7,19.5,19.4
4,California,53.0,531,524,1055,31.0,22.5,22.7,23.1,22.2,22.8
5,Colorado,11.0,606,595,1201,100.0,20.1,20.3,21.2,20.9,20.8
6,Connecticut,100.0,530,512,1041,31.0,25.5,24.6,25.6,24.6,25.2
7,Delaware,100.0,503,492,996,18.0,24.1,23.4,24.8,23.6,24.1
8,District of Columbia,100.0,482,468,950,32.0,24.4,23.5,24.9,23.5,24.2
9,Florida,83.0,520,497,1017,73.0,19.0,19.4,21.0,19.4,19.8
10,Georgia,61.0,535,515,1050,55.0,21.0,20.9,22.0,21.3,21.4
11,Hawaii,55.0,544,541,1085,90.0,17.8,19.2,19.2,19.3,19.0
12,Idaho,93.0,513,493,1005,38.0,21.9,21.8,23.0,22.1,22.3
13,Illinois,9.0,559,556,1115,93.0,21.0,21.2,21.6,21.3,21.4
14,Indiana,63.0,542,532,1074,35.0,22.0,22.4,23.2,22.3,22.6
15,Iowa,2.0,641,635,1275,67.0,21.2,21.3,22.6,22.1,21.9
16,Kansas,4.0,632,628,1260,73.0,21.1,21.3,22.3,21.7,21.7
17,Kentucky,4.0,631,616,1247,100.0,19.6,19.4,20.5,20.1,20.0
18,Louisiana,4.0,611,586,1198,100.0,19.4,18.8,19.8,19.6,19.5
19,Maine,95.0,513,499,1012,8.0,24.2,24.0,24.8,23.7,24.3
20,Maryland,69.0,536,524,1060,28.0,23.3,23.1,24.2,23.2,23.6
21,Massachusetts,76.0,555,551,1107,29.0,25.4,25.3,25.9,24.7,25.4
22,Michigan,100.0,509,495,1005,29.0,24.1,23.7,24.5,23.8,24.1
23,Minnesota,3.0,644,651,1295,100.0,20.4,21.5,21.8,21.6,21.5
24,Mississippi,2.0,634,607,1242,100.0,18.2,18.1,18.8,18.8,18.6
25,Missouri,3.0,640,631,1271,100.0,19.8,19.9,20.8,20.5,20.4
26,Montana,10.0,605,591,1196,100.0,19.0,20.2,21.0,20.5,20.3
27,Nebraska,3.0,629,625,1253,84.0,20.9,20.9,21.9,21.5,21.4
28,Nevada,26.0,563,553,1116,100.0,16.3,18.0,18.1,18.2,17.8
29,New Hampshire,96.0,532,520,1052,18.0,25.4,25.1,26.0,24.9,25.5
30,New Jersey,70.0,530,526,1056,34.0,23.8,23.8,24.1,23.2,23.9
31,New Mexico,11.0,577,561,1138,66.0,18.6,19.4,20.4,20.0,19.7
32,New York,67.0,528,523,1052,31.0,23.8,24.0,24.6,23.9,24.2
33,North Carolina,49.0,546,535,1081,100.0,17.8,19.3,19.6,19.3,19.1
34,North Dakota,2.0,635,621,1256,98.0,19.0,20.4,20.5,20.6,20.3
35,Ohio,12.0,578,570,1149,75.0,21.2,21.6,22.5,22.0,22.0
36,Oklahoma,7.0,530,517,1047,100.0,18.5,18.8,20.1,19.6,19.4
37,Oregon,43.0,560,548,1108,40.0,21.2,21.5,22.4,21.7,21.8
38,Pennsylvania,65.0,540,531,1071,23.0,23.4,23.4,24.2,23.3,23.7
39,Rhode Island,71.0,539,524,1062,21.0,24.0,23.3,24.7,23.4,24.0
40,South Carolina,50.0,543,521,1064,100.0,17.5,18.6,19.1,18.9,18.7
41,South Dakota,3.0,612,603,1216,80.0,20.7,21.5,22.3,22.0,21.8
42,Tennessee,5.0,623,604,1228,100.0,19.5,19.2,20.1,19.9,19.8
43,Texas,62.0,513,507,1020,45.0,19.5,20.7,21.1,20.9,20.7
44,Utah,3.0,624,614,1238,100.0,19.5,19.9,20.8,20.6,20.3
45,Vermont,60.0,562,551,1114,29.0,23.3,23.1,24.4,23.2,23.6
46,Virginia,65.0,561,541,1102,29.0,23.5,23.3,24.6,23.5,23.8
47,Washington,64.0,541,534,1075,29.0,20.9,21.9,22.1,22.0,21.9
48,West Virginia,14.0,558,528,1086,69.0,20.0,19.4,21.2,20.5,20.4
49,Wisconsin,3.0,642,649,1291,100.0,19.7,20.4,20.6,20.9,20.5
50,Wyoming,3.0,626,604,1230,100.0,19.4,19.8,20.8,20.6,20.2
